College,Role,City type,College_T1,College_T2,Role_Manager,City_Metro,previous CTC,previous job changes,Graduation marks,Exp,Actual CTC,Predicted CTC,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
Tier 1,Executive,Non-Metro,1,0,0,0,58109,4,44,41,75683.99175775939,73512.26668644455,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,51572,4,35,47,78834.20245449388,76196.37557301435,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,63031,1,48,42,72943.91057871455,71624.37074467454,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,54081,1,42,59,66774.10672843328,71128.53727023848,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,45676,4,81,19,58845.39620941226,61989.05760047109,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,52116,2,60,59,75689.82777249,79697.73498409937,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,46127,1,56,39,68623.41359571512,67174.19044431328,,,,,,,,,,,
Tier 2,Manager,Non-Metro,0,1,1,0,48343,3,78,40,68392.66608893438,82735.18218433463,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,56666,3,47,18,53730.63497314817,61406.93566450279,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,67170,4,55,31,69913.10506689803,73605.89338690095,,,,,,,,,,,
Tier 3,Manager,Metro,0,0,1,1,51096,3,70,19,80820.273616925,83463.18325369792,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,64120,2,35,44,71001.52597583721,75815.671329103,,,,,,,,,,,
Tier 1,Manager,Non-Metro,1,0,1,0,59001,2,81,23,89974.04520310643,88736.37941571574,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,45187,3,74,33,71161.34095428522,65525.18220888927,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,53027,4,69,55,106846.34327215831,74800.78589510088,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,55858,4,47,40,77673.28793290147,76300.93890832795,,,,,,,,,,,
Tier 1,Manager,Non-Metro,1,0,1,0,49074,3,58,63,84287.39457150061,94630.14307317442,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,54121,3,51,54,84320.29067045881,74606.9350733336,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,61285,3,44,60,77283.58877414947,74520.85383452027,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,63140,1,44,24,68416.8582689412,70194.60921845907,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,44907,1,60,19,70186.19259869528,66009.21947158246,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,52054,2,67,29,73394.0904052001,71802.1751215182,,,,,,,,,,,
Tier 1,Manager,Metro,1,0,1,1,44353,3,75,18,70056.31308784423,84742.4342084281,,,,,,,,,,,
Tier 1,Manager,Non-Metro,1,0,1,0,54987,3,69,63,111873.30375581964,97313.61095708984,,,,,,,,,,,
Tier 2,Manager,Metro,0,1,1,1,54808,2,51,54,101785.04474439692,93580.57592421985,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,58153,3,55,27,76298.89594140522,74012.90243809234,,,,,,,,,,,
Tier 1,Manager,Metro,1,0,1,1,51912,2,66,50,113141.14426480766,96677.1572669263,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,51735,1,67,55,71890.09479946457,74456.5177288892,,,,,,,,,,,
Tier 3,Manager,Metro,0,0,1,1,55928,4,75,56,108750.86966005848,95268.5497865439,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,61132,1,72,38,68120.02503754714,68797.12493050584,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,47560,4,70,51,67760.38061639876,70699.84153728686,,,,,,,,,,,
Tier 3,Manager,Metro,0,0,1,1,53080,3,68,19,97151.37752091119,84375.1131187632,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,46136,1,73,58,81234.59900941093,72667.5594443564,,,,,,,,,,,
Tier 2,Manager,Non-Metro,0,1,1,0,54869,2,76,20,72296.78844240363,80571.15639544961,,,,,,,,,,,
Tier 1,Manager,Metro,1,0,1,1,53471,3,58,52,82735.39843348712,97849.34468037635,,,,,,,,,,,
Tier 3,Manager,Metro,0,0,1,1,66355,1,81,19,99815.95648054365,90585.28783957486,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,62836,4,41,53,72755.3801578174,73323.34272786227,,,,,,,,,,,
Tier 2,Manager,Metro,0,1,1,1,70468,2,38,46,111172.91601833531,98678.78874794097,,,,,,,,,,,
Tier 2,Manager,Metro,0,1,1,1,45743,4,45,40,80222.49897693707,85617.96188808253,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,54083,3,83,59,70531.82259765857,76383.64741960801,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,50573,3,60,45,70207.24153266383,75245.9675004636,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,46637,4,46,49,66843.75254562823,74439.35593617319,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,50393,4,55,18,60213.58298100733,62525.812282318235,,,,,,,,,,,
Tier 1,Manager,Metro,1,0,1,1,63916,1,70,50,105334.49846693623,102243.01286369978,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,62911,3,65,41,65659.68641860971,75197.86413491119,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,56876,1,35,50,83092.1594310339,79651.66554068441,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,54032,1,38,25,66571.16731805798,67163.27393103167,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,52888,4,76,47,78083.2103369944,72628.85257544482,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,43457,1,74,19,62954.41009667994,60680.572388746295,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,51281,3,55,22,66298.7022281521,65472.88344017388,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,54806,2,57,59,82475.16317944069,75435.48718918842,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,49646,1,59,51,74374.59907197204,66970.48437059572,,,,,,,,,,,
Tier 1,Manager,Non-Metro,1,0,1,0,52883,1,55,40,78949.12098718829,90520.51692333254,,,,,,,,,,,
Tier 1,Manager,Metro,1,0,1,1,68419,4,46,54,106418.32082346061,105156.42022560071,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,50242,4,71,30,70060.23293629357,71064.73444356039,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,57133,3,72,55,77111.80888231471,76754.56242795088,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,52065,4,80,52,68439.79025915866,73552.9699436191,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,53490,2,72,46,68607.85658680982,71399.90542580353,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,68539,3,51,46,76839.09445361643,79660.61170587962,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,48471,1,52,63,70363.67448995469,70450.73078246895,,,,,,,,,,,
Tier 1,Manager,Non-Metro,1,0,1,0,59759,4,67,59,104376.58478459281,98373.29354310899,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,48380,2,76,52,83078.60512198722,70624.06767521602,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,56990,3,85,28,72326.82754102844,69595.06866468898,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,51090,3,80,29,88238.24169617819,71253.72328441343,,,,,,,,,,,
Tier 2,Manager,Metro,0,1,1,1,74198,1,57,25,99644.51268074985,94930.96595776803,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,49883,2,83,22,60621.48480320098,59358.073205399836,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,54757,1,70,25,81168.13837962199,72066.87627134364,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,47031,1,77,18,69525.7268218584,66684.91525831327,,,,,,,,,,,
Tier 1,Manager,Metro,1,0,1,1,50737,3,59,19,80080.38797789661,87957.95211304916,,,,,,,,,,,
Tier 2,Manager,Metro,0,1,1,1,51867,3,71,47,82688.35276711614,90280.89253815965,,,,,,,,,,,
Tier 3,Manager,Metro,0,0,1,1,55886,1,59,31,96427.67489832544,88980.50943815253,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,58056,2,35,48,69477.19058347786,70863.82002357667,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,53101,4,70,36,74538.40002011672,73945.63298503273,,,,,,,,,,,
Tier 1,Manager,Non-Metro,1,0,1,0,48782,4,48,53,79584.67817221009,91818.17576107218,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,61585,1,43,56,74831.0960466418,73775.02351575378,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,59979,4,75,28,58131.91129476439,65402.874283757286,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,63899,1,56,57,84743.00215349701,80568.57723957082,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,54798,1,54,29,75534.39710343456,68528.41211299515,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,54744,4,78,28,81481.55648325881,68500.53580521705,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,58383,2,46,30,69300.19403453461,65416.820251297606,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,58709,4,85,58,90313.74557930227,82240.28326630357,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,54126,2,43,41,73396.24209366414,67216.87210445147,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,52976,4,50,50,70039.58732539965,77593.72264906722,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,50339,2,60,19,70424.37488121429,64327.35129736391,,,,,,,,,,,
Tier 2,Manager,Metro,0,1,1,1,61609,2,74,43,91694.56714223037,93766.62424940857,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,63395,1,66,49,74782.68355135068,76810.84229701912,,,,,,,,,,,
Tier 1,Manager,Non-Metro,1,0,1,0,61270,2,73,27,102262.81761747811,90837.95816733153,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,61862,4,51,52,79093.55120620396,82181.44115984435,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,60695,1,62,50,70326.56076222577,76707.73746154104,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,59922,3,42,54,86259.99790665784,81916.45014266329,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,53748,2,74,44,63434.774109990576,67766.33255582773,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,62196,2,69,32,66943.00746268546,77224.37487648355,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,52827,2,43,34,65127.579495251746,68876.6626682615,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,56003,1,68,26,79572.90616725497,68816.29034617913,,,,,,,,,,,
Tier 1,Manager,Metro,1,0,1,1,60107,3,40,34,108959.67777892889,96210.67088255445,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,67292,3,46,57,75485.17100050153,86066.13300565591,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,49605,4,58,29,66564.33826507952,70537.84178233887,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,63647,3,50,40,77855.1090515495,79940.04795399548,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,48581,4,69,27,58157.333720999006,59937.576483505516,,,,,,,,,,,
Tier 3,Manager,Metro,0,0,1,1,63334,1,71,45,94904.91510174346,96029.09199327609,,,,,,,,,,,
Tier 1,Manager,Non-Metro,1,0,1,0,62264,2,52,64,114996.23482400103,101020.75568278461,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,61180,1,53,52,84453.82063361071,82108.19576246459,,,,,,,,,,,
Tier 1,Manager,Non-Metro,1,0,1,0,63370,1,38,61,112185.29832211288,100850.91506006737,,,,,,,,,,,
Tier 3,Manager,Metro,0,0,1,1,52121,4,64,52,85433.78223559774,92501.71702394189,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,58782,4,81,61,71725.41845388286,74343.78513937586,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,52717,3,81,56,69686.42924338763,74977.32551761217,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,65291,2,51,43,87624.82351950208,77469.998975086,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,62820,3,62,64,75366.41120628062,85819.6734786889,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,55219,3,36,60,69293.67109076187,75847.86468672671,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,50637,4,81,62,72653.5399695389,74964.99298736833,,,,,,,,,,,
Tier 1,Manager,Metro,1,0,1,1,56777,3,72,50,101676.26815178874,98810.23846643089,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,48367,2,82,46,64602.94425422709,64948.777420862665,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,50440,4,49,24,84891.90635235577,65542.7803246075,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,56640,4,59,62,80912.22400950574,77756.567502194,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,52862,4,38,60,75668.59508054049,76096.98134541695,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,66238,4,37,63,87865.95420001668,87091.71120325118,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,63067,2,41,49,72570.682119366,72543.91019970478,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,50768,4,65,34,63243.70668310053,62778.81966598892,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,62897,2,57,33,64127.08687555011,72331.98327388303,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,56970,3,43,46,81291.4053707774,78469.46214048224,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,50145,2,57,36,58437.39214565459,63195.42098653357,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,57744,3,71,19,68804.21811869097,67062.42720370714,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,50546,2,70,57,65555.14821746375,69712.18007410284,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,49630,3,39,50,78953.09393041996,72079.29716907858,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,49201,1,75,30,71665.52047390804,66736.5804388733,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,59672,1,41,33,78716.54209549182,76468.91166671945,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,65360,4,85,18,67305.64111620827,65227.26377953608,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,56630,4,78,46,91874.27451383746,78161.93607702365,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,66225,2,52,46,68828.3866112638,77267.97206354051,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,50905,1,51,47,71592.05846317224,71464.86379637639,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,70139,3,57,23,69655.873847607,72947.277762905,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,50225,3,78,18,55965.32082467932,58396.681653386506,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,58491,1,82,48,77991.9991613532,75685.26361246542,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,54429,3,73,35,67723.63994085533,74366.4365337241,,,,,,,,,,,
Tier 1,Manager,Non-Metro,1,0,1,0,48660,4,40,19,69552.89853549821,82878.51376329552,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,54944,4,52,21,71319.69156969068,66812.41739117683,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,45569,1,45,21,61314.48736690338,57280.25679986741,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,54688,3,72,49,77659.79680994866,74065.13731957904,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,55031,3,38,56,79567.4955816954,76123.40919075244,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,47800,3,51,42,64852.24096303516,64486.6873907067,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,53525,3,76,44,76874.6677272745,71665.84334832747,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,58158,4,52,18,74609.27118238097,71584.41234014624,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,45831,4,50,61,67830.3232656758,68480.30358476915,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,49068,3,38,57,76946.27442648172,73656.52024318743,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,59055,1,62,42,74170.8839830446,74413.30942647258,,,,,,,,,,,
Tier 1,Manager,Metro,1,0,1,1,56061,1,50,26,89914.72928668713,92406.74739171873,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,54739,1,41,20,57101.035681287656,65309.34867570358,,,,,,,,,,,
Tier 3,Manager,Non-Metro,0,0,1,0,48909,1,63,23,72988.3125114593,79599.03151294548,,,,,,,,,,,
Tier 1,Manager,Non-Metro,1,0,1,0,53938,1,61,39,75465.42476540631,90729.34832657914,,,,,,,,,,,
Tier 2,Manager,Metro,0,1,1,1,64117,4,77,24,98229.46224666848,89772.70511589621,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,53523,1,61,64,75104.2221182785,73006.02936801853,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,54533,1,68,62,94600.04509714275,76154.51876306413,,,,,,,,,,,
Tier 1,Manager,Non-Metro,1,0,1,0,41686,2,52,27,71243.96952679481,81918.95109126251,,,,,,,,,,,
Tier 1,Manager,Metro,1,0,1,1,52894,2,43,55,101285.29883925001,98481.99361916476,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,54634,2,76,55,78275.86986017901,74271.18330793614,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,71502,4,49,35,74600.08894239043,72560.86528142501,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,49626,3,59,44,72344.51137132675,74552.88396098907,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,64324,4,74,19,71994.50272609049,74623.11127862651,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,62778,1,51,58,77589.36059897071,74828.24678414041,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,52970,1,49,50,90017.28196972114,73199.15838413662,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,45893,4,75,26,65271.68390410404,59296.15030456524,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,50488,2,59,24,66640.88697965344,61069.654661250825,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,60137,4,65,48,89189.31286662431,80316.62779627,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,57816,4,66,19,59189.5166071516,62937.974913363534,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,51943,1,62,48,69695.93535208836,76816.04792501786,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,59544,3,51,49,70403.99667970599,80416.39433644153,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,61499,2,76,46,64944.98506666672,76469.38849625783,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,41294,1,39,46,71733.24841935959,66829.46096305948,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,58538,1,75,43,76807.17766689675,74412.13428432962,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,57406,2,61,21,84235.73980388464,66670.00495086347,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,50528,1,68,64,74927.63134104521,80344.64228079647,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,61700,4,36,18,66204.57797271245,63651.8262827725,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,47270,1,51,51,68331.11999504124,71398.72547011005,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,69065,1,76,47,80932.57874725565,78861.60902239254,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,60257,4,39,64,82519.16417821753,75889.21564066998,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,61079,1,79,49,77040.50861201517,76587.21316347616,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,42108,3,49,31,72612.4235142845,67729.98006906032,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,63977,4,63,52,84692.1592036745,79038.34973925535,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,45174,3,61,33,65377.42227460591,60046.327342536875,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,52699,3,69,47,69660.74970980089,72637.52641904028,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,42512,2,80,38,69717.82530843662,64266.04213052108,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,55176,3,75,32,57008.65990341758,68419.63718259126,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,38605,1,38,19,69365.77552098772,58533.314833684184,,,,,,,,,,,
Tier 1,Manager,Non-Metro,1,0,1,0,46677,1,39,44,77774.74162386707,88760.17846188639,,,,,,,,,,,
Tier 1,Manager,Non-Metro,1,0,1,0,45778,1,71,26,79016.85402791358,83572.10738624347,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,43939,2,39,25,74387.53526183973,67098.48665145702,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,56398,4,57,19,68191.78328927125,62307.35298587207,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,55835,2,42,43,60230.16350921346,67661.93669799593,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,63076,2,76,52,73796.53703691863,77348.9242074904,,,,,,,,,,,
Tier 1,Manager,Non-Metro,1,0,1,0,42990,4,69,36,72310.2005552051,84675.1529413789,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,65196,4,57,64,81015.31755220689,81336.8318538336,,,,,,,,,,,
Tier 3,Manager,Non-Metro,0,0,1,0,52971,3,38,63,81697.6017449792,91817.22195703033,,,,,,,,,,,
Tier 2,Manager,Metro,0,1,1,1,59430,4,54,64,104243.14882820088,98145.24504851906,,,,,,,,,,,
Tier 2,Manager,Metro,0,1,1,1,60711,1,65,61,101556.33834814298,98166.7130473623,,,,,,,,,,,
Tier 1,Manager,Metro,1,0,1,1,55375,1,68,40,106794.92984090827,95721.06206140268,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,52454,4,73,25,71600.01981595068,70764.05256207832,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,58185,3,83,48,81949.5649549263,79467.85769059458,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,47925,1,36,45,73749.23065235319,68745.57830586979,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,47421,2,53,38,71375.68382819502,67979.83908046196,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,51533,3,61,18,72477.67164013693,64528.96454531031,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,36990,2,43,21,65008.01814244506,58776.88720318596,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,56116,1,67,27,84698.8478601021,64495.054451130985,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,62878,2,47,19,97088.21402436319,74178.10810938134,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,42736,3,64,29,60591.813021220645,58740.085190060134,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,55608,1,78,42,70832.22638705265,76890.09763404276,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,59842,4,46,60,71889.51369351015,79274.78992240442,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,56444,3,45,31,73635.67200641929,69661.47442955464,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,53316,1,48,60,70999.91780476703,75114.6487244697,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,53856,2,75,22,66756.42069131427,70778.17750471993,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,54873,2,58,35,72489.65407653833,74680.99347018816,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,68315,3,79,52,81832.10317742726,75572.65577359719,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,52544,1,42,26,73939.42398479553,71372.76189601354,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,57189,3,47,31,66790.50125969727,65911.75373811767,,,,,,,,,,,
Tier 1,Manager,Non-Metro,1,0,1,0,57695,2,55,33,96600.42026043388,90809.14818509431,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,68011,2,70,18,53020.31902639509,70719.27810157172,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,64691,2,44,59,80588.66883779761,75898.62940141498,,,,,,,,,,,
Tier 3,Manager,Metro,0,0,1,1,53910,3,75,56,90228.62518175281,94426.08159306031,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,60907,2,57,45,79263.08924586873,75975.25552167572,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,54327,2,64,60,88561.51351315324,80963.1381854781,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,46538,1,53,56,62424.16233437009,67731.80132240307,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,52796,2,79,40,65442.63110839759,70910.23277517346,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,64231,1,75,35,66671.1908103291,79009.68188033384,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,59444,3,59,39,76341.12712177391,77736.74649441213,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,49831,3,63,30,73782.53704268494,66337.11071091224,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,45913,3,75,24,69436.16965274178,67586.04738159278,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,52310,4,47,20,56862.739025429764,64805.31455162933,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,69868,4,55,32,79427.58168181441,75102.25855106898,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,60939,1,74,59,91681.45037804786,83787.69249200521,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,57469,3,45,55,77103.63015596288,71463.8006813951,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,52571,3,72,57,66313.953676218,70553.79552253737,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,67425,1,59,56,82675.11143154297,86000.79166252588,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,59817,1,78,40,67427.14409415323,68706.74897148521,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,65657,3,83,49,76090.00718217288,73562.94979085836,,,,,,,,,,,
